OBJECTID,FEATURE_TYPE,FEATURE_TYPE_FR,STATUS,STATUS_FR,TARGETED_START,TARGETED_START_FR,PROJECT_MANAGER,PROJECTWEBPAGE,PROJECTWEBPAGE_FR,TRAFFICIMPACTS
41,MMUP,MMUP,PLANNED,PLANNED,This Year,Cette année,,,,
44,RD_SURF,RD_SURF,PLANNED,PLANNED,2-3 Years,2 à 3 ans,,,,
48,RD_SURF,RD_SURF,PLANNED,PLANNED,3-5 Years,3 à 5 ans,,,,
50,MCR,MCR,PLANNED,PLANNED,1-2 Years,1 à 2 ans,"Giamberardino, Nick",,,
52,MCR,MCR,PLANNED,PLANNED,This Year,Cette année,"Porter, James",,,
56,RRSW,RRSW,PLANNED,PLANNED,This Year,Cette année,"Gibbs, Kevin",,,
57,RRSW,RRSW,PLANNED,PLANNED,2-3 Years,2 à 3 ans,"Mojsej, Joe",,,
61,RRSW,RRSW,PLANNED,PLANNED,This Year,Cette année,"Gibbs, Kevin",,,
71,RS,RS,PLANNED,PLANNED,1-2 Years,1 à 2 ans,"Delaney, Kyle",,,
84,GNWP,GNWP,PLANNED,PLANNED,2-3 Years,2 à 3 ans,,,,
101,RD_RESF,RD_RESF,PLANNED,PLANNED,2-3 Years,2 à 3 ans,,,,
102,RD_RESF,RD_RESF,PLANNED,PLANNED,1-2 Years,1 à 2 ans,,,,
107,RD_RESF,RD_RESF,PLANNED,PLANNED,1-2 Years,1 à 2 ans,,,,
110,RD_RESF,RD_RESF,PLANNED,PLANNED,1-2 Years,1 à 2 ans,,,,
111,RD_RESF,RD_RESF,PLANNED,PLANNED,2-3 Years,2 à 3 ans,,,,
112,GNSP,GNSP,INPROGRESS,INPROGRESS,This Year,Cette année,"Vallee, Josee",,,
117,RD_SURF,RD_SURF,PLANNED,PLANNED,1-2 Years,1 à 2 ans,,,,
118,RD_RESF,RD_RESF,PLANNED,PLANNED,2-3 Years,2 à 3 ans,,,,
119,RD_RESF,RD_RESF,PLANNED,PLANNED,1-2 Years,1 à 2 ans,,,,
120,RD_RESF,RD_RESF,PLANNED,PLANNED,2-3 Years,2 à 3 ans,,,,
121,RD_SURF,RD_SURF,PLANNED,PLANNED,4-7 Years,4 à 7 ans,,,,
122,RD_SURF,RD_SURF,PLANNED,PLANNED,3-5 Years,3 à 5 ans,,,,
129,GNR,GNR,INPROGRESS,INPROGRESS,This Year,Cette année,"Vallee, Josee",,,
131,RRSW,RRSW,PLANNED,PLANNED,2-3 Years,2 à 3 ans,"Moore, Jo-Anne",,,
160,RD_RESF,RD_RESF,PLANNED,PLANNED,4-7 Years,4 à 7 ans,,,,
182,RD_RESF,RD_RESF,PLANNED,PLANNED,1-2 Years,1 à 2 ans,,,,
204,MMUP,MMUP,PLANNED,PLANNED,2-3 Years,2 à 3 ans,,,,
239,GNR,GNR,PLANNED,PLANNED,3-5 Years,3 à 5 ans,,,,
285,RS,RS,INPROGRESS,INPROGRESS,This Year,Cette année,"Tubb, Roxanne",,,
289,RS,RS,INPROGRESS,INPROGRESS,This Year,Cette année,"Strampel, Matthew C",,,
291,RRSW,RRSW,PLANNED,PLANNED,2-3 Years,2 à 3 ans,"Arseneault, Andrew",,,
